OBJECTID,objectid_1,vendor_name,vendor_city,vendor_state,vendor_zip_code,vendor_id
1,1,COA ONETRAVEL.COM AIR,LAS VEGAS,NV,89119,27391
2,2,GUILFORD PETROLEUM SERVICES INC,LEICESTER,NC,28748,30972
3,3,CUMULUS KNOXVILLE,KNOXVILLE,TN,37919,32632
4,4,"ECKERD YOUTH ALTERNATIVES, INC.",CLEARWATER,FL,33765,34885
5,5,MOUNTAIN VETERINARY PATHOLOGY,ASHEVILLE,NC,28806,8845
6,6,TERMINIX SERVICE,ASHEVILLE,NC,28813-5281,2562
7,7,NATIONAL COMM DEVELOPMENT ASSO,WASHINGTON,DC,20006,1898
8,8,"PIEDMONT PHARMACEUTICAL NETWORK, LLC",GREENSBORO,NC,27408,15011
9,9,"TAYLOR, ROBERT",CANDLER,NC,28715,18878
10,10,"DUVAL, VICTORIA NICOLE",HENDERSONVILLE,NC,28792,26704
11,11,CROWNE PLAZA GREENVILL,GREENVILLE,SC,29607,27036
12,12,OMNI ATLANTA CNN,ATLANTA,GA,30303,27368
13,13,BLUE RIDGE LAND SURVEYING INC,ASHEVILLE,NC,28801,27700
14,14,CONCORDANCE HEALTHCARE,TIFFIN,OH,44883,32655
15,15,NATIONAL ENGRAVERS,WINIFIELD,IL,60190,25493
16,16,EXPRESS PRESS,SPRINGFIELD,MO,65802,26372
17,17,ASHEVILLE TOURISTS BASEBALL CL,ASHEVILLE,NC,28802,215
18,18,ASHEVILLE OIL CO INC,ASHEVILLE,NC,28803,46
19,19,NC ASA,BURLINGTON,NC,27216,1875
20,20,LYDA ENTERPRISES INC,ASHEVILLE,NC,28802-1315,1543
21,21,"PATHWAYS FOR THE FUTURE, INC.",SYLVA,NC,28779,16694
22,22,C.E.P. SERVICES,HENDERSONVILLE,NC,28792,38752
23,23,THE POKER DEPOT,ST PETERSBURG,FL,33714,33674
24,24,BULK APOTHECARY,STREETSBORO,OH,44241,34338
25,25,SUPPORT@DOCHUB.COM,BOSTON,MA,02114,34507
26,26,HAW CREEK ANIMAL HOSPI,ASHEVILLE,NC,28805,37092
27,27,TRUDOOR LLC,PHOENIX,AZ,85035,37424
28,28,POLICE TECHNICAL,TERRE HAUTE,IN,478073525,38088
29,29,TYBER CREEK PUB,CHARLOTTE,NC,28202,28101
30,30,"SGS TECHNOLOGIE, LLC",JACKSONVILLE,FL,32216,29429
31,31,SPRINGHILL SUITES COLU,COLUMBIA,SC,29201,29761
32,32,FAIRFIELD INN & SUITES,EAST RIDGE,TN,37412,30093
33,33,"SUNSHINE SAFETY COUNCIL, INC.",SOUTH DAYTONA,FL,32119-1959,33342
34,34,STRONG LIGHTING,LA VISTA,NE,68128,33511
35,35,ASHEVILLE GOLF COURSE,ASHEVILLE,NC,28805,16362
36,36,"ASHEVILLE HEAD NECK AND EAR SURGEONS, PA",ASHEVILLE,NC,28803,16030
37,37,"FREEMAN, JEFF",ASHEVILLE,NC,28806,17195
38,38,M B HAYNES CORPORATION,ASHEVILLE,NC,28806,1188
39,39,PARTS TOWN,ADDISON,IL,60101,27082
40,40,US GREEN BUILD COUNCIL,WASHINGTON,DC,20037,28410
41,41,"WEST, DAVID L",ASHEVILLE,NC,28806,34029
42,42,SQ  CENTRAL NORTH CARO,CONCORD,NC,28025,34484
43,43,STEELCASE INC,GRAND RAPIDS,MI,49508,38111
44,44,SUBWAY        00238642,ASHEVILLE,NC,28806,28742
45,45,WINDHAM WEAPONRY INC,WINDHAM,ME,04062,32492
46,46,TECHSTREET-CLARIVATE,PHILADELPHIA,PA,19130,32701
47,47,WONDERSHARE SOFTWARE(H,HONG KONG,HK,UNKNOWN,32824
48,48,AVMA - LOCKBOX ONLINE,SCHAUMBURG,IL,60173,33697
49,49,ABKIND LLC DBA BIO-ONE ASHEVILLE,ASHEVILLE,NC,28803,33820
50,50,"CAROLINA ABRASIVES, LLC",CHESNEE,SC,29323,10906
51,51,BIZODO INC.,NEW YORK,NY,10016,21649
52,52,WINDHAM PROFESSIONALS INC,SALEM,NH,03079,23641
53,53,EXPEDIA 7473529637296,BELLVEUE,NV,89144,33133
